,GAP
730,627.0
735,540.0
754,351.0
858,104.0
910,96.0
952,88.0
953,88.0
966,86.0
1058,75.0
1090,71.0
1109,68.0
1191,59.0
1208,58.0
1312,46.0
1331,44.0
1346,43.0
1361,41.0
1369,40.0
1373,40.0
1516,27.0
1545,24.0
2490,414.0
2542,158.0
2579,118.0
2616,105.0
2689,93.0
2694,93.0
2735,88.0
2738,88.0
2739,87.0
2838,73.0
2900,65.0
2970,56.0
3034,48.0
3080,44.0
3105,42.0
3128,40.0
3160,38.0
3226,33.0
3266,27.0
3364,13.0
4295,373.0
4309,296.0
4439,95.0
4448,94.0
4464,92.0
4487,89.0
4562,78.0
4635,68.0
4740,56.0
4818,47.0
4822,47.0
4871,42.0
4908,39.0
4916,39.0
4920,38.0
4925,38.0
5012,30.0
5089,19.0
5090,19.0
5165,-164.0
5323,-7590.0
5363,-11291.0
5940,6140.0
6005,1352.0
6010,1111.0
6076,238.0
6148,111.0
6205,98.0
6234,92.0
6242,91.0
6380,69.0
6464,60.0
6528,53.0
6570,48.0
6597,46.0
6642,42.0
6661,40.0
6664,40.0
6693,37.0
6762,31.0
6803,26.0
7725,9804.0
7868,1139.0
7878,993.0
7988,130.0
8065,101.0
8076,100.0
8078,99.0
8123,92.0
8168,83.0
8269,70.0
8361,58.0
8399,53.0
8411,52.0
8477,46.0
8522,43.0
8527,43.0
8550,40.0
8552,40.0
8580,37.0
8610,35.0
8633,33.0
8689,25.0
8843,-451.0
9047,-16761.0
9632,2321.0
9699,496.0
9736,306.0
9783,145.0
9856,105.0
9859,104.0
9903,96.0
9929,92.0
9952,87.0
10025,75.0
10095,67.0
10226,52.0
10274,47.0
10299,45.0
10329,42.0
10339,42.0
10363,40.0
10375,39.0
10385,37.0
10419,34.0
10479,29.0
10548,20.0
10579,15.0
11354,3206.0
11387,1546.0
11506,134.0
11512,127.0
11575,105.0
11612,99.0
11632,96.0
11644,95.0
11659,93.0
11790,73.0
11833,66.0
11853,64.0
11900,60.0
11906,59.0
11950,53.0
12006,47.0
12038,44.0
12046,43.0
12087,40.0
12090,40.0
12219,28.0
12292,19.0
13145,154.0
13255,98.0
13282,95.0
13287,94.0
13354,80.0
13471,63.0
13478,63.0
13514,59.0
13520,58.0
13531,57.0
13539,56.0
13637,47.0
13647,45.0
13665,43.0
13672,43.0
13701,40.0
13713,39.0
13715,39.0
13788,32.0
13795,31.0
13871,21.0
13988,-469.0
14035,-2688.0
